ST,time,values
E4_Temperature,"1646468373,27539","31,55"
E4_Temperature,"1646468373,5254","31,55"
E4_Temperature,"1646468373,77541","31,55"
E4_Temperature,"1646468374,02542","31,55"
E4_Temperature,"1646468374,27543","31,55"
E4_Temperature,"1646468374,52544","31,55"
E4_Temperature,"1646468374,77545","31,55"
E4_Temperature,"1646468375,02547","31,55"
E4_Temperature,"1646468375,27548","31,53"
E4_Temperature,"1646468375,52549","31,53"
E4_Temperature,"1646468375,7755","31,53"
E4_Temperature,"1646468376,02551","31,53"
E4_Temperature,"1646468376,27552","31,55"
E4_Temperature,"1646468376,52554","31,55"
E4_Temperature,"1646468376,77555","31,55"
E4_Temperature,"1646468377,02556","31,55"
E4_Temperature,"1646468377,27557","31,53"
E4_Temperature,"1646468377,52558","31,53"
E4_Temperature,"1646468377,77559","31,53"
E4_Temperature,"1646468378,02561","31,53"
E4_Temperature,"1646468378,27562","31,55"
E4_Temperature,"1646468378,52563","31,55"
E4_Temperature,"1646468378,77564","31,55"
E4_Temperature,"1646468379,02565","31,55"
E4_Temperature,"1646468379,27566","31,55"
E4_Temperature,"1646468379,52567","31,55"
E4_Temperature,"1646468379,77569","31,55"
E4_Temperature,"1646468380,0257","31,55"
E4_Temperature,"1646468380,27571","31,53"
E4_Temperature,"1646468380,52572","31,53"
E4_Temperature,"1646468380,77573","31,53"
E4_Temperature,"1646468381,02574","31,53"
E4_Temperature,"1646468381,27576","31,53"
E4_Temperature,"1646468381,52577","31,53"
E4_Temperature,"1646468381,77578","31,53"
E4_Temperature,"1646468382,02579","31,53"
E4_Temperature,"1646468382,2758","31,53"
E4_Temperature,"1646468382,52581","31,53"
E4_Temperature,"1646468382,77583","31,53"
E4_Temperature,"1646468383,02584","31,53"
E4_Temperature,"1646468383,27585","31,53"
E4_Temperature,"1646468383,52586","31,53"
E4_Temperature,"1646468383,77587","31,53"
E4_Temperature,"1646468384,02588","31,53"
E4_Temperature,"1646468384,27589","31,53"
E4_Temperature,"1646468384,52591","31,53"
E4_Temperature,"1646468384,77592","31,53"
E4_Temperature,"1646468385,02593","31,53"
E4_Temperature,"1646468385,27594","31,53"
E4_Temperature,"1646468385,52595","31,53"
E4_Temperature,"1646468385,77596","31,53"
E4_Temperature,"1646468386,02598","31,53"
E4_Temperature,"1646468386,27599","31,53"
E4_Temperature,"1646468386,526","31,53"
E4_Temperature,"1646468386,77601","31,53"
E4_Temperature,"1646468387,02602","31,53"
E4_Temperature,"1646468387,27603","31,53"
E4_Temperature,"1646468387,52605","31,53"
E4_Temperature,"1646468387,77606","31,53"
E4_Temperature,"1646468388,02607","31,53"
E4_Temperature,"1646468388,27608","31,53"
E4_Temperature,"1646468388,52609","31,53"
E4_Temperature,"1646468388,7761","31,53"
E4_Temperature,"1646468389,02611","31,53"
E4_Temperature,"1646468389,27613","31,51"
E4_Temperature,"1646468389,52614","31,51"
E4_Temperature,"1646468389,77615","31,51"
E4_Temperature,"1646468390,02616","31,51"
E4_Temperature,"1646468390,27617","31,53"
E4_Temperature,"1646468390,52618","31,53"
E4_Temperature,"1646468390,7762","31,53"
E4_Temperature,"1646468391,02621","31,53"
E4_Temperature,"1646468391,27622","31,51"
E4_Temperature,"1646468391,52623","31,51"
E4_Temperature,"1646468391,77624","31,51"
E4_Temperature,"1646468392,02625","31,51"
E4_Temperature,"1646468392,27626","31,53"
E4_Temperature,"1646468392,52628","31,53"
E4_Temperature,"1646468392,77629","31,53"
E4_Temperature,"1646468393,0263","31,53"
E4_Temperature,"1646468393,27631","31,51"
E4_Temperature,"1646468393,52632","31,51"
E4_Temperature,"1646468393,77633","31,51"
E4_Temperature,"1646468394,02635","31,51"
E4_Temperature,"1646468394,27636","31,51"
